"행정구역별(읍면동)",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비주거용 건물 내 주택 (호),주택 이외의 거처_계 (호)
"부산진구",355644,169804,185840,352352,168513,183839,3292,1291,2001,170620,169534,67,1019,150811,20386,106163,1734,21265,1263,19346
"동래구",265047,127737,137310,263669,127241,136428,1378,496,882,113235,112749,44,442,100960,11468,71823,2677,13792,1200,7663
"남구",258412,126231,132181,250365,122170,128195,8047,4061,3986,115484,112697,71,2716,109973,15173,68150,3008,22737,905,5892
"북구",270951,132930,138021,268216,131775,136441,2735,1155,1580,117516,116981,47,488,110629,7045,90832,2324,9753,675,2747
"해운대구",370849,178232,192617,366197,175951,190246,4652,2281,2371,161653,160219,42,1392,146918,11737,117711,2352,14260,858,15722
"사하구",298826,148443,150383,292932,144824,148108,5894,3619,2275,133480,131845,74,1561,121910,16594,86823,5106,12393,994,6534
"금정구",221890,107689,114201,216385,105541,110844,5505,2148,3357,103112,100914,92,2106,86802,15393,49091,3012,18058,1248,4887
"강서구",144102,76751,67351,136800,70487,66313,7302,6264,1038,58353,56762,54,1537,48793,8732,38516,331,775,439,5498
"연제구",198491,94451,104040,197365,94012,103353,1126,439,687,89189,88825,33,331,79734,9839,55746,1375,11938,836,6404
"수영구",170220,79677,90543,168390,78846,89544,1830,831,999,82388,81720,28,640,73423,9157,41621,2156,19779,710,7042
"사상구",208245,104127,104118,201238,100366,100872,7007,3761,3246,95633,93814,51,1768,80888,9112,61638,788,8495,855,6181
"기장군",175691,87263,88428,172558,85143,87415,3133,2120,1013,73595,72849,43,703,70007,8169,55844,1412,3875,707,3079
"대구광역시",2379188,1170854,1208334,2335997,1147899,1188098,43191,22955,20236,1047270,1033238,624,13408,876286,146710,658745,9112,51641,10078,27763
"읍부",243406,123581,119825,235630,118847,116783,7776,4734,3042,98998,96806,65,2127,95254,10653,81086,650,1994,871,2769
"면부",45438,23563,21875,43063,21787,21276,2375,1776,599,21030,20480,34,516,21075,11986,8249,175,402,263,1120
"동부",2090344,1023710,1066634,2057304,1007265,1050039,33040,16445,16595,927242,915952,525,10765,759957,124071,569410,8287,49245,8944,23874
"중구",85775,40955,44820,84891,40565,44326,884,390,494,41402,41035,34,333,33753,5831,25645,356,1125,796,4152
"동구",335589,163733,171856,333113,162908,170205,2476,825,1651,151886,151103,75,708,137276,21643,99077,2262,12726,1568,4550
"서구",161396,80035,81361,158072,78201,79871,3324,1834,1490,75968,74822,55,1091,56916,20404,23975,745,10721,1071,1147
"남구",141259,67205,74054,139211,66394,72817,2048,811,1237,71693,71002,63,628,45143,17675,20591,559,5513,805,1343
"북구",430146,213650,216496,422655,210100,212555,7491,3550,3941,188337,185594,110,2633,154806,19055,126063,1761,6192,1735,4219
"수성구",396295,191621,204674,394200,190792,203408,2095,829,1266,164103,163311,46,746,143163,19490,114379,1388,6824,1082,4441
"달서구",539884,266511,273373,525162,258305,266857,14722,8206,6516,233853,229085,142,4626,188900,19973,159680,1216,6144,1887,4022
"달성군",267045,136174,130871,257491,130101,127390,9554,6073,3481,108954,106343,86,2525,105220,12829,88700,663,2064,964,3246
"군위군",21799,10970,10829,21202,10533,10669,597,437,160,11074,10943,13,118,11109,9810,635,162,332,170,643
"인천광역시",3025950,1518154,1507796,2903900,1450848,1453052,122050,67306,54744,1282363,1242168,933,39262,1131300,93014,760435,30986,238234,8631,113593
"읍부",21483,10624,10859,21053,10392,10661,430,232,198,9299,9178,9,112,9407,3487,1194,955,3608,163,308
"면부",64049,33776,30273,62601,32669,29932,1448,1107,341,30502,30078,71,353,30445,25420,1826,893,1627,679,1629
"동부",2940418,1473754,1466664,2820246,1407787,1412459,120172,65967,54205,1242562,1202912,853,38797,1091448,64107,757415,29138,232999,7789,111656
"중구",157326,81094,76232,151243,78047,73196,6083,3047,3036,72871,70881,57,1933,60020,7913,41759,1869,7798,681,10843
"동구",59364,29670,29694,57925,28896,29029,1439,774,665,26440,26006,17,417,27642,5806,18143,438,2986,269,992
"연수구",408476,203922,204554,382347,189916,192431,26129,14006,12123,157664,148578,92,8994,133519,3426,122331,960,6504,298,14174
"남동구",500087,250230,249857,481459,238639,242820,18628,11591,7037,214867,209484,149,5234,189988,7891,131082,3640,46126,1249,20118
"부평구",498558,245545,253013,472929,232769,240160,25629,12776,12853,214631,205580,104,8947,183973,10138,124718,4579,43253,1285,23559
"계양구",279818,138377,141441,274501,136014,138487,5317,2363,2954,118325,116641,88,1596,110729,3427,72560,1751,32355,636,4978
"서구",621848,315927,305921,601706,302927,298779,20142,13000,7142,251086,245055,147,5884,228241,9083,164589,10349,43212,1008,16517
"미추홀구",414941,208989,205952,398136,200579,197557,16805,8410,8395,186678,180687,199,5792,157336,16423,82233,5552,50765,2363,20475
"강화군",66246,33235,33011,64883,32322,32561,1363,913,450,29761,29379,61,321,31136,22555,2383,1232,4345,621,1571
"옹진군",19286,11165,8121,18771,10739,8032,515,426,89,10040,9877,19,144,8716,6352,637,616,890,221,366
"광주광역시",1457090,722226,734864,1421816,703206,718610,35274,19020,16254,639311,627602,367,11342,560550,77711,456837,11426,8865,5711,21823
"동구",112016,55433,56583,109706,54239,55467,2310,1194,1116,53637,52727,48,862,44979,10056,30720,1033,2318,852,2850
"서구",284014,139583,144431,281139,138160,142979,2875,1423,1452,129910,128794,48,1068,109147,13654,91417,1481,1574,1021,6108
"남구",211536,101424,110112,209420,100607,108813,2116,817,1299,91218,90635,44,539,84581,14979,66037,1463,1254,848,1933
"북구",432033,214187,217846,425407,211030,214377,6626,3157,3469,192754,190468,95,2191,169678,22459,139522,2898,2740,2059,4786
"광산구",417491,211599,205892,396144,199170,196974,21347,12429,8918,171792,164978,132,6682,152165,16563,129141,4551,979,931,6146
"대전광역시",1470336,735804,734532,1440902,722241,718661,29434,13563,15871,665786,654809,516,10461,514123,75528,388467,10661,34415,5052,14307
"동구",230134,115867,114267,222378,112320,110058,7756,3547,4209,109718,106617,103,2998,81855,17650,53764,2347,7001,1093,1114
"중구",220292,107882,112410,218020,106965,111055,2272,917,1355,99495,98670,97,728,82576,16614,53643,2479,8479,1361,1321
"서구",469031,230350,238681,462888,227822,235066,6143,2528,3615,212945,210520,115,2310,156268,19248,126681,2596,6817,926,4349
"유성구",379100,194514,184586,369543,189781,179762,9557,4733,4824,166048,162551,146,3351,128811,11480,111479,1641,3329,882,6444
"대덕구",171779,87191,84588,168073,85353,82720,3706,1838,1868,77580,76451,55,1074,64613,10536,42900,1598,8789,790,1079
"울산광역시",1107432,573506,533926,1075762,553006,522756,31670,20500,11170,467842,458129,274,9439,405885,64589,301668,8461,24461,6706,15229
"읍부",189653,99378,90275,181331,94105,87226,8322,5273,3049,78529,75558,55,2916,69395,11546,51622,1453,3626,1148,2452
"면부",33719,18025,15694,31313,15942,15371,2406,2083,323,15388,14893,47,448,15274,10415,3282,712,459,406,1173
"동부",884060,456103,427957,863118,442959,420159,20942,13144,7798,373925,367678,172,6075,321216,42628,246764,6296,20376,5152,11604
"중구",203534,102721,100813,200887,101590,99297,2647,1131,1516,88379,87430,29,920,72357,14348,47954,1919,6807,1329,2692
"남구",308537,157718,150819,302194,154380,147814,6343,3338,3005,135782,133445,74,2263,112412,13066,86812,2202,8017,2315,6800
"동구",157071,83979,73092,148749,77488,71261,8322,6491,1831,65191,63118,28,2045,56946,7776,43204,1362,3765,839,1200
"북구",214918,111685,103233,211288,109501,101787,3630,2184,1446,84573,83685,41,847,79501,7438,68794,813,1787,669,912
"울주군",223372,117403,105969,212644,110047,102597,10728,7356,3372,93917,90451,102,3364,84669,21961,54904,2165,4085,1554,3625
"세종특별자치시",386261,193999,192262,378454,189304,189150,7807,4695,3112,158757,156444,107,2206,153545,16144,133671,1354,1664,712,3649
"읍부",48399,25684,22715,45964,24367,21597,2435,1317,1118,22531,21447,29,1055,16624,2828,11761,768,899,368,333
"면부",48480,26790,21690,44993,24174,20819,3487,2616,871,24879,24025,64,790,18369,12409,4749,216,651,344,1247
"동부",289382,141525,147857,287497,140763,146734,1885,762,1123,111347,110972,14,361,118552,907,117161,370,114,X,2069
"세종시",386261,193999,192262,378454,189304,189150,7807,4695,3112,158757,156444,107,2206,153545,16144,133671,1354,1664,712,3649
"경기도",13815367,6994451,6820916,13162788,6612985,6549803,652579,381466,271113,5722843,5500024,4574,218245,4859873,509114,3477378,136932,701931,34518,359293
"읍부",1451037,759392,691645,1353898,695907,657991,97139,63485,33654,598561,570513,753,27295,554910,84939,363755,24029,76701,5486,26174
"면부",775703,435692,340011,672289,355783,316506,103414,79909,23505,333327,308371,1109,23847,281605,167445,57932,9848,39768,6612,32052
"동부",11588627,5799367,5789260,11136601,5561295,5575306,452026,238072,213954,4790955,4621140,2712,167103,4023358,256730,3055691,103055,585462,22420,301067
"수원시",1226362,617941,608421,1167816,588288,579528,58546,29653,28893,527695,503568,251,23876,408440,30252,305733,9503,60523,2429,29592
"장안구",275209,138925,136284,264614,133656,130958,10595,5269,5326,114786,110588,80,4118,92097,8429,61465,1806,19695,702,1747
"권선구",372852,187996,184856,356484,179786,176698,16368,8210,8158,160537,154095,42,6400,128874,9514,92828,2830,22874,828,6037
"팔달구",211665,107076,104589,191044,96127,94917,20621,10949,9672,100145,91149,67,8929,73253,8186,46747,2237,15426,657,6951
"영통구",366636,183944,182692,355674,178719,176955,10962,5225,5737,152227,147736,62,4429,114216,4123,104693,2630,2528,242,14857
"성남시",903116,446636,456480,877738,434402,443336,25378,12234,13144,390312,380003,143,10166,281090,31577,203200,10908,33946,1459,35139
